schema_name,relation_name,column_name,required,evidence_types,source_files
public,sc_pullsheet_sync_runs,request_id,True,insert,netlify/functions/_shared/pullsheetReservations.js
public,sc_pullsheet_sync_runs,source,True,insert,netlify/functions/_shared/pullsheetReservations.js
public,sc_pullsheet_sync_runs,woocommerce_order_id,True,insert,netlify/functions/_shared/pullsheetReservations.js
public,sc_quote_order_handoffs,created_at,True,order,src/lib/phase6Api.js
public,sc_supplier_catalog_sync_runs,feed_id_text,True,filter | insert,netlify/functions/supplier-catalog-feed-sync.js
public,sc_supplier_catalog_sync_runs,feed_name,True,insert,netlify/functions/supplier-catalog-feed-sync.js
public,sc_supplier_catalog_sync_runs,id,True,filter,netlify/functions/supplier-catalog-feed-sync.js
public,sc_supplier_catalog_sync_runs,initiated_by,True,insert,netlify/functions/supplier-catalog-feed-sync.js
public,sc_supplier_catalog_sync_runs,metadata,True,insert,netlify/functions/supplier-catalog-feed-sync.js
public,sc_supplier_catalog_sync_runs,source_url,True,insert,netlify/functions/supplier-catalog-feed-sync.js
public,sc_supplier_catalog_sync_runs,started_at,True,order,netlify/functions/supplier-catalog-feed-sync.js
public,sc_supplier_catalog_sync_runs,status,True,filter | insert,netlify/functions/supplier-catalog-feed-sync.js
public,sc_supplier_catalog_sync_runs,supplier_name,True,insert,netlify/functions/supplier-catalog-feed-sync.js
public,sc_supplier_catalog_sync_runs,updated_at,True,update,netlify/functions/supplier-catalog-feed-sync.js
public,sizes,code,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,sizes,id,True,select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
public,sizes,name,True,order | select,netlify/functions/manual-pullsheet.js | netlify/functions/woocommerce-webhook.js | src/EditBlankItems.jsx | src/PullSheetView.jsx | src/lib/inventoryApi.js
